extract_date,load_flag,id,first_name,last_name,email,gender,job_title,amount
"2008-01-04 00:00:00","I",17,"Ingemar","Petrus","ipetrus6@blogspot.com","Male","Chief Design Engineer",49.02
"2008-01-04 00:00:00","I",18,"Anstice","Hollingdale","ahollingdale7@yahoo.co.jp","Female","Cost Accountant",21.94
"2008-01-04 00:00:00","I",19,"Chaunce","Holdforth","choldforth8@ca.gov","Non-binary","Chief Design Engineer",72.0
"2008-01-04 00:00:00","I",20,"Blinni","Fenty","bfenty9@paginegialle.it","Female","Assistant Media Planner",38.98
"2008-01-04 00:00:00","D",7,"Ingemar","Petrus","ipetrus6@blogspot.com","Male","Chief Design Engineer",49.02
"2008-01-04 00:00:00","U",8,"Anstice","Hollingdale","ahollingdale7@yahoo.co.jp","Female","Profit Accountant",21.94
"2008-01-04 00:00:00","D",14,"Pascale","Jedrzaszkiewicz","pjedrzaszkiewicz3@auda.org.au","Male","Safety Technician IV",73.21
"2008-01-04 00:00:00","U",1,"David","Legier","dlegier0@mail.ru","Agender","Super Hero",86.5
"2008-01-04 00:00:00","U",17,"Ingemar","Petrus","ipetrus6@blogspot.com","Male","Chief Design Engineer",5000.02
"2008-01-04 00:00:00","U",11,"Tom","Jerry","dlegier0@mail.ru","Agender","PM of England",10000.5
